rank,uri,,,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
65,spotify:track:4MU4Kfkd9EnkArK2ocQyqK,,,"Arijit Singh, Harshdeep Kaur",Zaalima,Zee Music Company,65,71,100,2018938
66,spotify:track:0hFkx6EoIRvNmEVXQIIJtk,,,Aditya Rikhari,Paaro,Universal Music India Pvt Ltd.,46,58,10,2016089
67,spotify:track:0KSOLEBixnBYIKNHF1VbzF,,,"Atif Aslam, Hadiqa Kiani",Hona Tha Pyar,Tips Industries Ltd,54,59,12,2006793
68,spotify:track:0gPgdRfB4jdGrlyXS0Vx78,,,"Vishal-Shekhar, KK, Shilpa Rao, Anvita Dutt Guptan",Khuda Jaane,YRF Music,29,29,137,1990217
69,spotify:track:6H7fLdt0AeWpuxUKXuXWrx,,,Hariharan,Shree Hanuman Chalisa,T-Series,31,65,145,1983235
70,spotify:track:7yDHHVKLbvDmVw1XXhDDIO,,,"Vishal Mishra, Raj Shekhar",Pehle Bhi Main,T-Series,1,67,77,1963149
71,spotify:track:5vGiuYFSGekGLgbxhV1rD5,,,"Atif Aslam, Pritam",Tu Jaane Na,Tips Industries Ltd,66,70,190,1955517
72,spotify:track:1y1rQTkWmrZdJmjwuK07GC,,,"Vishal Mishra, Manoj Muntashir","Kaise Hua (From ""Kabir Singh"")",T-Series,5,61,310,1952055
73,spotify:track:1PDREqVNvmphIoNac3Vz8c,,,"Himesh Reshammiya, Ankit Tiwari, Palak Muchhal",Sanam Teri Kasam,Sony Music Entertainment India Pvt. Ltd.,1,47,16,1944714
74,spotify:track:1YMLgvsQdE27r30q0fsLeV,,,Arijit Singh,Tera Fitoor,Tips Industries Ltd,61,137,95,1940145
75,spotify:track:1mQUEvGR7Sbt2OCz2gFrdx,,,"Sachin-Jigar, Pawan Singh, Simran Choudhary, Divya Kumar, Amitabh Bhattacharya","Aayi Nai (From ""Stree 2"")",Saregama India Ltd,2,82,41,1932525
76,spotify:track:5pPyvA03RKSJrAnnDcq0nh,,,"Sachin-Jigar, Shreya Ghoshal, Tochi Raina",Saibo,Sony Music Entertainment India Pvt. Ltd.,22,22,238,1930216
77,spotify:track:1dFrZr9eMUsFqeag04ClqD,,,Dhanda Nyoliwala,Russian Bandana,Universal Music India Pvt Ltd.,6,62,34,1921368
78,spotify:track:25jtUwCQfXwnxENh8Bvoj4,,,"Diljit Dosanjh, MixSingh, Raj Ranjodh",Water,Famous Studios,36,36,13,1919314
79,spotify:track:4MtsPGGUTIs4qFD8gOSJ3D,,,"Masoom Sharma, Rahul Muana, Swara Verma, Ruba Khan",Chambal K Dakku,Bajewala Records,26,64,10,1914856
80,spotify:track:2iNqdCchlUZEgjJbQyZf8T,,,"Kailash Kher, Paresh Kamath, Naresh Kamath",Teri Deewani,Sony Music Entertainment India Pvt. Ltd.,62,88,42,1912488
81,spotify:track:4y2sSEDG8aP4nDyXWnmPjw,,,"Masoom Sharma, Swara Verma, Dev Chouhan, Pooja Saxena",Blender,GSC Music,19,66,20,1910036
82,spotify:track:1fkjRQA8wXPPyxqYLbxuqy,,,"Vishal-Shekhar, Sanam Puri, Shipra Goyal",Ishq Bulaava,Sony Music Entertainment India Pvt. Ltd.,74,74,8,1904698
